Cita_Original,Tipo,Es_Compleja,Categoria
"(Martínez, 2016, p. 35)",Parentética,TRUE,Revision_Manual
"(Martínez, 2016, p. 63)",Parentética,TRUE,Revision_Manual
"(Martínez, 2016, pp. 33-34)",Parentética,TRUE,Revision_Manual
"(Mignolo, 2015, p. 315)",Parentética,TRUE,Revision_Manual
Acurio et al. (1997),Narrativa,TRUE,Revision_Manual
Adelantado et al. (1998),Narrativa,TRUE,Revision_Manual
Lara-Caballero et al. (2021),Narrativa,TRUE,Revision_Manual
Valente et al. (2019),Narrativa,TRUE,Revision_Manual
