Cita_Original,Tipo,Es_Compleja,Categoria
CONEVAL (2021),Narrativa,FALSE,Automatizable
CONEVAL (2024),Narrativa,FALSE,Automatizable
Couldry y Mejías (2019),Narrativa,FALSE,Automatizable
Cris y Susan Wright (1997),Narrativa,FALSE,Automatizable
Cucó (2004),Narrativa,FALSE,Automatizable
Damián (2025),Narrativa,FALSE,Automatizable
Daniel (1993),Narrativa,FALSE,Automatizable
Daniela (2022),Narrativa,FALSE,Automatizable
David (2005),Narrativa,FALSE,Automatizable
David (2006),Narrativa,FALSE,Automatizable
David (2007),Narrativa,FALSE,Automatizable
David (2014),Narrativa,FALSE,Automatizable
Delgado (1999),Narrativa,FALSE,Automatizable
Delgado (2002),Narrativa,FALSE,Automatizable
Didier (2002),Narrativa,FALSE,Automatizable
Didier Fassin (2016),Narrativa,FALSE,Automatizable
DIF (2024),Narrativa,FALSE,Automatizable
Douglass North (1995),Narrativa,FALSE,Automatizable
Elias y Scotson (2015),Narrativa,FALSE,Automatizable
Emilio Fanfani (1989),Narrativa,FALSE,Automatizable
Espinosa (2013),Narrativa,FALSE,Automatizable
Federación (2019),Narrativa,FALSE,Automatizable
Francisco (1997),Narrativa,FALSE,Automatizable
Franco Ferrarotti (2012),Narrativa,FALSE,Automatizable
"Giorgio Agamben (2003, 2000)",Narrativa,FALSE,Automatizable
Guy (2013),Narrativa,FALSE,Automatizable
Harvey (2007),Narrativa,FALSE,Automatizable
Hiernaux (2007),Narrativa,FALSE,Automatizable
Huerta (2012),Narrativa,FALSE,Automatizable
Humberto (2019),Narrativa,FALSE,Automatizable
INEGI (2023),Narrativa,FALSE,Automatizable
Isabel (2016),Narrativa,FALSE,Automatizable
Ixtapaluca (2022),Narrativa,FALSE,Automatizable
Jesús (2017),Narrativa,FALSE,Automatizable
John (2000),Narrativa,FALSE,Automatizable
Jonathan (2012),Narrativa,FALSE,Automatizable
Jorge Bustamante (1990),Narrativa,FALSE,Automatizable
José Antonio (2019),Narrativa,FALSE,Automatizable
Josune (2017),Narrativa,FALSE,Automatizable
Juan (2012),Narrativa,FALSE,Automatizable
Keith (1971),Narrativa,FALSE,Automatizable
Kelly Yotebieng (2020),Narrativa,FALSE,Automatizable
La ONU (2018),Narrativa,FALSE,Automatizable
Laura (2012),Narrativa,FALSE,Automatizable
Lefebvre (2013),Narrativa,FALSE,Automatizable
López (2017),Narrativa,FALSE,Automatizable
Lorey (2016),Narrativa,FALSE,Automatizable
Luis y Padilla Martha (2012),Narrativa,FALSE,Automatizable
Luk (2011),Narrativa,FALSE,Automatizable
Malkki (2015),Narrativa,FALSE,Automatizable
María (2009),Narrativa,FALSE,Automatizable
Mariana Wagner (2016),Narrativa,FALSE,Automatizable
Martín (2010),Narrativa,FALSE,Automatizable
Mary Douglas (1986),Narrativa,FALSE,Automatizable
Max (1973),Narrativa,FALSE,Automatizable
