Cita_Original,Tipo,Categoria,Pagina_PDF,Citekey_Zotero
Borja (2019),Narrativa,Automatizable,No encontrada,
Britha (1995),Narrativa,Automatizable,No encontrada,
Bustamante (1990),Narrativa,Automatizable,No encontrada,
CONEVAL (2021),Narrativa,Automatizable,No encontrada,
CONEVAL (2024),Narrativa,Automatizable,No encontrada,
Carrión (2019),Narrativa,Automatizable,No encontrada,
Castells (2009),Narrativa,Automatizable,28,
Cejudo y Michel (2016),Narrativa,Automatizable,No encontrada,
Clarissa (2019),Narrativa,Automatizable,No encontrada,
Claudia (2017),Narrativa,Automatizable,No encontrada,
Clifford (1973),Narrativa,Automatizable,No encontrada,
Clifford Geertz (1973),Narrativa,Automatizable,No encontrada,
Couldry y Mejías (2019),Narrativa,Automatizable,28,
Cris y Susan Wright (1997),Narrativa,Automatizable,No encontrada,
Cucó (2004),Narrativa,Automatizable,No encontrada,
DIF (2024),Narrativa,Automatizable,No encontrada,
Damián (2025),Narrativa,Automatizable,No encontrada,
Daniel (1993),Narrativa,Automatizable,No encontrada,
Daniela (2022),Narrativa,Automatizable,No encontrada,
David (2005),Narrativa,Automatizable,No encontrada,
David (2006),Narrativa,Automatizable,No encontrada,
David (2007),Narrativa,Automatizable,No encontrada,
David (2014),Narrativa,Automatizable,No encontrada,
Delgado (1999),Narrativa,Automatizable,No encontrada,
Delgado (2002),Narrativa,Automatizable,No encontrada,
Didier (2002),Narrativa,Automatizable,No encontrada,
Didier Fassin (2016),Narrativa,Automatizable,No encontrada,
Douglass North (1995),Narrativa,Automatizable,23,
Elias y Scotson (2015),Narrativa,Automatizable,29,
Emilio Fanfani (1989),Narrativa,Automatizable,No encontrada,
Espinosa (2013),Narrativa,Automatizable,No encontrada,
Federación (2019),Narrativa,Automatizable,No encontrada,
Francisco (1997),Narrativa,Automatizable,No encontrada,
Franco Ferrarotti (2012),Narrativa,Automatizable,No encontrada,
"Giorgio Agamben (2003, 2000)",Narrativa,Automatizable,No encontrada,
Guy (2013),Narrativa,Automatizable,No encontrada,
Harvey (2007),Narrativa,Automatizable,No encontrada,
Hiernaux (2007),Narrativa,Automatizable,No encontrada,
Huerta (2012),Narrativa,Automatizable,No encontrada,
Humberto (2019),Narrativa,Automatizable,No encontrada,
INEGI (2023),Narrativa,Automatizable,No encontrada,
Isabel (2016),Narrativa,Automatizable,No encontrada,
Ixtapaluca (2022),Narrativa,Automatizable,No encontrada,
Jesús (2017),Narrativa,Automatizable,No encontrada,
John (2000),Narrativa,Automatizable,No encontrada,
Jonathan (2012),Narrativa,Automatizable,No encontrada,
Jorge Bustamante (1990),Narrativa,Automatizable,No encontrada,
Josune (2017),Narrativa,Automatizable,No encontrada,
José Antonio (2019),Narrativa,Automatizable,No encontrada,
Juan (2012),Narrativa,Automatizable,No encontrada,
Keith (1971),Narrativa,Automatizable,No encontrada,
Kelly Yotebieng (2020),Narrativa,Automatizable,No encontrada,
La ONU (2018),Narrativa,Automatizable,No encontrada,
Lara-Caballero et al. (2021),Narrativa,Revision_Manual,No encontrada,
Laura (2012),Narrativa,Automatizable,No encontrada,
Lefebvre (2013),Narrativa,Automatizable,No encontrada,
Lorey (2016),Narrativa,Automatizable,No encontrada,
Luis y Padilla Martha (2012),Narrativa,Automatizable,No encontrada,
Luk (2011),Narrativa,Automatizable,No encontrada,
López (2017),Narrativa,Automatizable,No encontrada,
Malkki (2015),Narrativa,Automatizable,No encontrada,
Mariana Wagner (2016),Narrativa,Automatizable,No encontrada,
Martín (2010),Narrativa,Automatizable,No encontrada,
Mary Douglas (1986),Narrativa,Automatizable,23,
María (2009),Narrativa,Automatizable,No encontrada,
Max (1973),Narrativa,Automatizable,No encontrada,
Maya & Hermosilla (2019),Narrativa,Automatizable,82,
Mendoza (2021),Narrativa,Automatizable,No encontrada,
Menéndez (2002),Narrativa,Automatizable,No encontrada,
Miranda (2015),Narrativa,Automatizable,No encontrada,
Moreno (2023),Narrativa,Automatizable,No encontrada,
Muzzopappa & Villalta (2022),Narrativa,Automatizable,No encontrada,
Máximo (2020),Narrativa,Automatizable,No encontrada,
México (2019),Narrativa,Automatizable,No encontrada,
México (2024),Narrativa,Automatizable,No encontrada,
Nancy (1995),Narrativa,Automatizable,No encontrada,
Naotaka (2009),Narrativa,Automatizable,No encontrada,
Nicolás (2012),Narrativa,Automatizable,No encontrada,
ONU Medio Ambiente (2018),Narrativa,Automatizable,No encontrada,
Osvaldo (2021),Narrativa,Automatizable,No encontrada,
Perelman y Boy (2010),Narrativa,Automatizable,No encontrada,
Peter Redfield y Erica Bornstein (2011),Narrativa,Automatizable,No encontrada,
Pierre Bourdieu (1994),Narrativa,Automatizable,No encontrada,
Pilar (2014),Narrativa,Automatizable,No encontrada,
Podgornik-Jakil y Bens (2021),Narrativa,Automatizable,No encontrada,
"Poulantzas (1978, 1997)",Narrativa,Automatizable,No encontrada,
Ricardo (2005),Narrativa,Automatizable,No encontrada,
Ricardo López (2019),Narrativa,Automatizable,No encontrada,
Rifo & Durán (2022),Narrativa,Automatizable,No encontrada,
Rizo (2006),Narrativa,Automatizable,No encontrada,
Robert Castel (2004),Narrativa,Automatizable,No encontrada,
Rocha (2022),Narrativa,Automatizable,76,
Roger (2015),Narrativa,Automatizable,No encontrada,
Rolando (2005),Narrativa,Automatizable,No encontrada,
Rosa María (2012),Narrativa,Automatizable,No encontrada,
Roth (2002),Narrativa,Automatizable,No encontrada,
Rubio (2017),Narrativa,Automatizable,No encontrada,
Santiago Castro Gómez (2021),Narrativa,Automatizable,No encontrada,
Saskia (1991),Narrativa,Automatizable,No encontrada,
Sassen (1991),Narrativa,Automatizable,No encontrada,
Scott (1998),Narrativa,Automatizable,24,
Según María Cristina Bayón (2014),Narrativa,Automatizable,No encontrada,
Setha y Sally Engle Merry (2010),Narrativa,Automatizable,No encontrada,
Shore (2010),Narrativa,Automatizable,No encontrada,
Signorelli (1999),Narrativa,Automatizable,No encontrada,
Standing (2013),Narrativa,Automatizable,No encontrada,
Tania (2013),Narrativa,Automatizable,No encontrada,
Tim (1996),Narrativa,Automatizable,No encontrada,
Titmuss (1987),Narrativa,Automatizable,No encontrada,
Tokman (2001),Narrativa,Automatizable,No encontrada,
Valente et al. (2019),Narrativa,Revision_Manual,No encontrada,
Valentina (2017),Narrativa,Automatizable,No encontrada,
Villanova (2012),Narrativa,Automatizable,No encontrada,
Víctor (2001),Narrativa,Automatizable,No encontrada,
Wall (2015),Narrativa,Automatizable,No encontrada,
William (1989),Narrativa,Automatizable,No encontrada,
William (2011),Narrativa,Automatizable,No encontrada,
Xiao (2022),Narrativa,Automatizable,82,
Ziga Podgornik-Jakil y Jona Bens (2021),Narrativa,Automatizable,No encontrada,
